Debt_to_Equity,Beta,Interest_Coverage,Stock_Price
1.186,1.896,8.22,113.2
2.857,1.572,22.134,126.42
2.223,1.119,35.045,155.47
1.836,2.128,29.557,139.68
0.552,1.869,32.456,179.12
0.552,0.825,26.693,185.53
0.268,2.322,27.999,171.86
2.612,2.145,34.119,140.35
1.843,2.4,10.737,109.14
2.153,1.951,20.088,126.55
0.16,1.727,9.627,146.0
2.913,1.336,39.519,153.51
2.514,2.365,37.818,144.75
0.716,2.232,2.538,114.71
0.627,0.59,28.517,180.7
0.632,0.553,37.085,197.9
0.982,1.253,8.042,126.68
1.622,2.121,23.15,136.73
1.353,2.475,36.704,159.05
0.945,0.801,2.324,124.25
1.874,1.688,28.199,147.31
0.505,1.262,12.597,152.62
0.947,2.44,37.051,173.12
1.162,2.184,38.871,168.13
1.423,2.177,37.826,163.38
2.377,1.437,19.494,127.88
0.679,1.33,34.62,181.19
1.591,1.047,33.937,169.21
1.818,0.613,13.445,135.77
0.235,2.229,33.328,176.11
1.862,2.126,2.443,95.69
0.595,2.499,24.255,148.96
0.289,2.493,9.97,131.02
2.852,1.611,5.702,90.55
2.9,2.038,4.001,75.77
2.444,2.39,28.155,129.33
0.983,2.199,14.255,131.52
0.383,0.995,29.266,185.5
2.084,1.401,3.549,102.74
1.376,0.758,13.296,144.16
0.454,2.408,22.04,152.98
1.536,1.712,31.838,157.83
0.2,0.957,13.431,159.46
2.737,1.843,25.41,125.99
0.85,1.736,35.553,178.01
2.021,1.216,25.019,144.19
1.004,0.727,10.085,139.25
1.608,1.843,1.952,100.46
1.685,1.541,34.934,159.85
0.636,2.045,1.83,122.55
2.912,1.54,35.113,138.58
2.348,2.204,21.629,118.14
2.825,1.604,37.624,145.47
2.695,1.622,32.153,142.59
1.834,2.253,39.919,160.92
2.773,1.307,14.678,114.57
0.357,0.768,30.92,187.99
0.668,0.558,16.675,162.13
0.231,2.01,19.715,154.7
1.043,1.741,25.473,162.62
1.227,1.908,35.073,164.59
0.887,0.926,39.379,194.73
2.503,0.773,30.963,153.3
1.135,0.529,17.293,155.59
0.915,1.201,17.433,149.94
1.674,1.68,29.766,152.9
0.509,1.284,10.312,144.12
2.426,1.375,5.308,98.95
0.316,2.308,14.83,146.2
2.962,1.197,12.202,110.92
2.34,1.528,12.556,110.47
0.676,2.067,10.111,127.12
0.116,1.293,2.642,136.89
2.465,1.744,1.697,95.5
2.15,2.225,39.521,153.33
2.214,2.399,17.683,118.11
2.337,0.794,15.989,132.22
0.315,2.353,27.506,163.94
1.14,1.484,9.512,130.5
0.436,1.016,38.048,203.33
2.603,1.418,31.667,141.99
1.908,2.46,4.487,93.6
1.06,1.485,17.286,142.47
0.284,1.158,35.286,191.46
1.002,1.767,37.845,176.93
1.043,0.98,19.229,150.41
2.216,0.652,24.923,147.25
1.949,0.758,7.514,117.04
2.673,0.756,39.656,164.9
1.469,0.804,10.035,127.31
0.447,0.778,37.767,201.59
2.168,1.782,26.336,139.5
2.306,0.864,24.702,136.61
1.728,1.191,20.995,143.52
2.336,2.294,9.996,102.1
1.532,1.448,7.885,115.61
1.616,1.835,9.599,121.19
1.34,0.845,8.271,131.88
0.174,0.885,31.404,190.66
0.413,0.582,14.655,161.79
0.191,0.838,3.256,144.04
1.946,1.057,38.795,172.35
1.012,0.854,35.468,186.99
1.575,0.677,37.182,177.69
2.732,0.741,39.801,164.08
0.823,1.422,7.782,127.89
1.29,0.913,16.453,145.11
2.291,1.229,30.571,146.33
0.764,1.507,28.145,166.62
0.323,1.881,7.002,137.93
0.94,0.579,32.817,188.48
0.568,2.099,9.753,133.97
2.796,1.756,9.729,92.84
2.444,0.664,21.942,136.59
1.937,2.247,24.125,135.23
2.627,2.342,23.623,117.56
2.431,0.622,4.568,113.96
0.641,1.054,35.221,190.39
2.688,2.112,11.358,97.29
1.664,1.997,6.051,106.05
2.442,0.869,35.661,160.21
2.699,0.919,38.27,158.82
1.022,1.241,34.623,181.16
0.419,1.469,32.571,186.33
0.761,1.737,26.554,160.9
1.339,1.238,22.483,147.52
2.472,1.425,4.392,90.8
2.596,1.995,16.93,111.33
0.12,0.573,15.535,165.62
1.581,1.005,11.13,123.06
1.31,1.927,29.213,157.05
0.744,2.29,20.339,153.22
0.448,1.523,4.161,131.13
1.079,1.564,9.587,131.58
2.834,0.714,27.647,140.43
1.037,1.395,3.969,121.44
1.604,1.565,34.197,166.66
2.139,0.985,20.311,135.37
1.155,1.038,19.743,153.09
2.918,1.255,24.104,126.77
2.891,0.54,33.163,149.17
0.83,1.144,14.565,150.53
1.542,0.923,27.443,160.04
0.973,1.155,23.064,157.87
0.926,0.74,11.414,146.61
0.207,2.281,35.267,179.69
1.868,1.687,32.1,154.0
1.558,1.858,26.68,147.66
0.249,2.078,34.173,185.35
0.908,1.497,34.824,179.8
2.734,0.674,28.626,144.15
0.795,1.574,33.644,179.81
0.52,1.674,28.201,175.48
1.519,1.991,27.525,149.98
2.958,1.363,25.126,125.66
0.802,0.755,30.356,177.21
2.049,1.068,7.186,110.04
2.309,1.226,35.354,156.45
0.789,1.792,35.002,175.47
2.212,1.642,2.141,93.77
1.167,1.212,33.207,174.39
1.934,2.473,6.026,97.95
1.937,1.712,14.07,119.7
1.654,0.974,29.997,163.99
0.362,0.704,7.27,148.32
2.522,0.806,32.901,148.23
1.03,0.992,33.453,176.95
0.641,0.821,20.791,165.6
0.218,0.873,1.249,134.22
1.814,1.07,12.194,128.26
2.065,0.847,25.06,152.37
0.148,2.294,39.266,194.14
1.585,0.66,25.641,159.06
0.757,1.549,11.132,142.3
1.971,1.321,25.726,145.42
0.606,2.465,22.059,148.21
2.104,0.724,31.414,158.14
1.222,1.296,5.172,120.85
2.817,2.439,30.68,124.09
0.499,2.231,22.109,154.55
1.089,2.134,38.557,174.67
0.429,1.016,14.333,155.89
2.782,0.842,25.672,137.34
2.644,1.837,37.349,151.16
0.848,2.359,4.998,118.27
2.014,1.614,37.552,157.52
2.47,1.643,27.828,128.25
1.71,1.06,3.646,115.87
1.636,2.039,12.738,114.91
0.801,0.874,28.619,175.93
0.37,1.147,3.627,132.59
2.702,1.351,23.705,122.42
2.711,1.515,14.489,110.73
1.936,0.985,25.216,151.0
1.083,0.73,2.784,125.03
1.113,1.721,34.99,164.52
2.205,1.077,38.966,165.89
2.702,1.662,38.786,152.41
2.673,0.809,30.236,142.17
2.362,1.462,6.073,101.42
1.962,1.565,30.572,150.89
0.344,0.604,1.959,141.82
0.569,1.173,1.863,129.39
2.706,0.769,13.621,113.66
1.859,0.627,20.057,148.71
0.127,2.48,31.046,173.36
0.394,1.145,27.649,178.85
2.024,2.12,18.39,118.43
0.115,1.009,11.671,155.5
0.566,1.863,39.888,186.6
1.691,2.02,17.621,126.52
2.106,1.691,18.604,130.42
1.991,1.443,7.381,106.02
0.75,1.324,31.998,173.37
2.165,1.198,28.054,151.56
0.788,2.359,9.61,124.18
1.044,2.161,4.213,110.85
2.265,2.43,27.539,132.76
1.984,0.749,26.526,151.23
2.563,1.962,11.657,106.78
2.007,2.377,38.084,155.93
1.748,0.862,6.891,119.13
0.372,0.633,17.861,174.33
1.166,1.982,37.801,171.45
0.869,1.649,17.369,148.06
0.808,2.184,25.903,156.77
2.922,0.78,16.506,121.66
1.24,2.091,11.694,128.32
2.687,0.903,39.375,161.77
1.93,0.827,16.964,133.61
2.405,0.829,35.87,162.71
1.558,2.129,9.968,112.32
1.773,1.83,9.311,118.93
1.528,1.546,2.214,108.34
0.666,1.218,26.415,169.85
2.195,2.254,15.373,111.67
0.914,1.285,34.71,176.56
0.171,2.133,19.455,153.43
1.972,1.378,38.76,171.34
0.614,1.254,8.235,136.75
2.827,1.425,34.876,141.65
2.866,1.103,31.287,143.1
2.753,1.995,31.066,135.98
1.173,1.505,33.947,174.09
0.145,0.964,30.68,194.03
2.792,2.299,25.423,115.65
1.342,1.268,6.119,117.38
2.903,1.587,2.269,87.29
2.894,2.313,36.913,135.63
2.574,1.748,25.049,127.03
0.954,0.734,32.065,185.72
1.217,2.38,19.779,136.8
2.568,1.755,5.575,94.12
1.019,1.17,5.882,134.7
0.592,0.779,27.737,177.99
1.715,2.088,17.782,128.87
2.815,1.74,8.82,94.5
2.118,1.567,20.172,130.19
1.753,2.288,3.504,101.88
0.382,2.077,23.697,162.38
1.884,0.803,11.491,128.75
2.971,1.123,32.105,144.05
0.506,0.997,13.104,151.42
1.603,1.988,18.754,128.53
2.644,0.567,1.453,95.08
2.248,1.64,3.825,90.84
2.121,2.025,16.307,123.04
2.137,2.254,19.718,116.67
1.143,1.184,24.401,158.48
0.951,2.143,12.375,128.61
2.447,0.721,28.104,148.81
